Bra000001	DNAse I-like superfamily protein
Bra023381	No annotation found
Bra023382	No annotation found
Bra023383	Leucine-rich repeat (LRR) family protein
Bra023384	Putative glycosyl hydrolase of unknown function (DUF1680)
Bra023385	CLAVATA3/ESR-RELATED 40
Bra023386	glucan synthase-like 12
Bra023387	RNA helicase family protein
Bra023388	Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein
Bra023389	ARMADILLO BTB protein 1
Bra023390	MSF1-like family protein
Bra023391	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein
Bra023392	Pollen Ole e 1 allergen and extensin family protein
Bra023393	Protein kinase superfamily protein
Bra023394	senescence-associated gene 29
Bra023395	NAC domain containing protein 83
Bra023396	No annotation found
Bra023397	No annotation found
Bra023398	GRAM domain family protein
Bra023399	jasmonate-zim-domain protein 10
Bra023400	RING finger protein
Bra023401	aspartate kinase 1
Bra023402	Protein kinase superfamily protein
Bra023403	Auxin-responsive GH3 family protein
Bra023404	related to AP2 6l
Bra023405	Auxin-responsive GH3 family protein
Bra023406	Auxin-responsive GH3 family protein
Bra023407	no exine formation 1
Bra023408	Major facilitator superfamily protein
Bra023409	FKBP-like peptidyl-prolyl cis-trans isomerase family protein
Bra023410	Aldolase-type TIM barrel family protein
Bra023411	Ubiquinol-cytochrome C reductase iron-sulfur subunit
Bra023412	Ubiquinol-cytochrome C reductase iron-sulfur subunit
Bra023413	delta subunit of Mt ATP synthase
Bra023414	IQ-domain 11
Bra023415	No annotation found
Bra023416	Transducin/WD40 repeat-like superfamily protein
Bra023417	No annotation found
Bra023418	Ribosomal protein L10 family protein
Bra023419	peptidase M1 family protein
Bra023420	No annotation found
Bra023421	decapping 2
Bra023422	No annotation found
Bra023423	Phototropic-responsive NPH3 family protein
Bra023424_Bra023425	No annotation found
Bra023426	phospholipid:diacylglycerol acyltransferase
Bra023427	elongation factor family protein
Bra023428	nodulin MtN21 /EamA-like transporter family protein
Bra023429	alpha-N-acetylglucosaminidase family / NAGLU family
Bra023430	sterol methyltransferase 1
Bra023431	Uncharacterised protein family (UPF0114)
Bra023432	zinc induced facilitator 1
Bra023433	Plasma-membrane choline transporter family protein
Bra023434	Pentatricopeptide repeat (PPR-like) superfamily protein
Bra023435	Acyl-CoA N-acyltransferases (NAT) superfamily protein
Bra023436	pheophytinase
Bra023437	telomeric DNA binding protein 1
Bra023438	No annotation found
Bra023439	ELCH-like
Bra023440	Integrase-type DNA-binding superfamily protein
Bra023441	Chalcone and stilbene synthase family protein
Bra023442	aminopeptidases
Bra023443	exocyst subunit exo70 family protein C2
Bra023444	C2H2 and C2HC zinc fingers superfamily protein
Bra023445	translocon-associated protein beta (TRAPB) family protein
Bra023446	phosphate transporter 3;1
Bra023447	Transducin/WD40 repeat-like superfamily protein
Bra023448	Thioredoxin superfamily protein
Bra023449	Peroxidase superfamily protein
Bra023450	isopropylmalate dehydrogenase 1
Bra023451	ralf-like 9
Bra023452	Thioredoxin superfamily protein
Bra023453	Proteasome component (PCI) domain protein
Bra023454	Rubisco methyltransferase family protein
Bra023455	Ribosomal protein S13/S18 family
Bra023456	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra023457	No annotation found
Bra023458	No annotation found
Bra023459	early nodulin-like protein 21
Bra023460	Ubiquitin-like superfamily protein
Bra023461	CCT motif family protein
Bra023462	CCT motif family protein
Bra023463	alpha/beta-Hydrolases superfamily protein
Bra023464	cytochrome P450, family 724, subfamily A, polypeptide 1
Bra023465	RING domain ligase2
Bra023466	Surfeit locus protein 2 (SURF2)
Bra023467	beta-1,4-N-acetylglucosaminyltransferase family protein
Bra023468	No annotation found
Bra023469	No annotation found
Bra023470	myb domain protein 68
Bra023471	Protein of unknown function (DUF626)
Bra023472	Protein of unknown function (DUF626)
Bra023473	Transducin/WD40 repeat-like superfamily protein
Bra023474	Protein of unknown function (DUF1421)
Bra023475	high affinity nitrate transporter 2.7
Bra023476	Methyltransferase-related protein
Bra023477	Methyltransferase-related protein
Bra023478	DEAD box RNA helicase family protein
Bra023479	domains rearranged methyltransferase 2
Bra023480	domains rearranged methyltransferase 2
Bra023481	NAD(P)-binding Rossmann-fold superfamily protein
Bra023482	No annotation found
Bra023483	Protein kinase superfamily protein
Bra023484	No annotation found
Bra023485	carbonic anhydrase 2
Bra023486	myb domain protein 66
Bra023487	formate dehydrogenase
Bra023488	ARM repeat superfamily protein
Bra023489	Alg9-like mannosyltransferase family
Bra023490	Potassium transporter family protein
Bra023491	NHL domain-containing protein
Bra023492	Heavy metal transport/detoxification superfamily protein 
Bra023493	F-box associated ubiquitination effector family protein
Bra023494	Major facilitator superfamily protein
Bra023495	No annotation found
Bra023496	golgi alpha-mannosidase II
Bra023497	DP-E2F-like 2
Bra023498	No annotation found
Bra023499	No annotation found
Bra023500	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra023501	SIN3-like 2
Bra023502	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein
Bra023503	Auxin efflux carrier family protein
Bra023504	Pectate lyase family protein
Bra023505	WRKY DNA-binding protein 72
Bra023506	homeobox 3
Bra023507	No annotation found
Bra023508	BANQUO 2
Bra023509	Peroxidase superfamily protein
Bra023510	No annotation found
Bra023511	Ribosomal protein S4
Bra023512	Ribosomal protein L27 family protein
Bra023513	GAST1 protein homolog 4
Bra023514	Pentatricopeptide repeat (PPR) superfamily protein
Bra023515	myb domain protein 16
Bra023516	U-box domain-containing protein
Bra023517	Plant calmodulin-binding protein-related
Bra023518	casein lytic proteinase B3
Bra023519	galacturonosyltransferase 14
Bra023520	UDP-glucose 6-dehydrogenase family protein
Bra023521	TPX2 (targeting protein for Xklp2) protein family
Bra023522	PHD finger family protein
Bra023523	expansin A23
Bra023524	Transducin/WD40 repeat-like superfamily protein
Bra023525	Bromodomain transcription factor
Bra023526	longifolia1
Bra023527	SPIRAL1-like4
Bra023528	COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family
Bra023529	Mitochondrial substrate carrier family protein
Bra023530	reversibly glycosylated polypeptide 2
Bra023531	F-box associated ubiquitination effector family protein
Bra023532	ARM repeat superfamily protein
Bra023533	DNA/RNA polymerases superfamily protein
Bra023534_Bra023535	GDSL-motif lipase 7
Bra023536	Alpha-L RNA-binding motif/Ribosomal protein S4 family protein
Bra023537	glucose-6-phosphate acetyltransferase 1
Bra023538	Pollen Ole e 1 allergen and extensin family protein
Bra023539	RING/U-box superfamily protein
Bra023540	basic leucine-zipper 3
Bra023541	CONSTANS-like 1
Bra023542	prenylcysteine methylesterase
Bra023543	Protein of unknown function (DUF674)
Bra023544	glycosyl hydrolase family 81 protein
Bra023545	NAD(P)-binding Rossmann-fold superfamily protein
Bra023546	plant adhesion molecule 1
Bra023547	NAD(P)-binding Rossmann-fold superfamily protein
Bra023548	3-oxo-5-alpha-steroid 4-dehydrogenase family protein
Bra023549	No annotation found
Bra023550	RING/U-box superfamily protein
Bra023551	No annotation found
Bra023552	No annotation found
Bra023553	alpha/beta-Hydrolases superfamily protein
Bra023554	No annotation found
Bra023555	ortholog of maize chloroplast splicing factor CRS1
Bra023556	HEAT repeat-containing protein
Bra023557	SWAP (Suppressor-of-White-APricot)/surp RNA-binding domain-containing protein
Bra023558	sister chromatid cohesion 1 protein 4
Bra023559	VALINE-TOLERANT 1
Bra023560	NC domain-containing protein-related
Bra023561	NC domain-containing protein-related
Bra023562	acyl activating enzyme 5
Bra023563	chloroplastic acetylcoenzyme A carboxylase 1
Bra023564	thioredoxin F2
Bra023565	HXXXD-type acyl-transferase family protein
Bra023566	Putative adipose-regulatory protein (Seipin)
Bra023567	zinc finger (C2H2 type) family protein
Bra023568	Transcription factor TFIIIC, tau55-related protein
Bra023569	Phosphotyrosine protein phosphatases superfamily protein
Bra023570	Homeodomain-like superfamily protein
Bra023571	Alpha-1,4-glucan-protein synthase family protein
Bra023572	No annotation found
Bra023573	glutamine synthetase 1;4
Bra023574	Leucine-rich repeat protein kinase family protein
Bra023575	ABC transporter family protein
Bra023576	myb domain protein 43
Bra023577	hydroxyproline-rich glycoprotein family protein
Bra023578	DNA repair protein Rad4 family
Bra023579	dehydroascorbate reductase 1
Bra023580	Glycosyl hydrolase superfamily protein
Bra023581	Transmembrane amino acid transporter family protein
Bra023582	Transducin family protein / WD-40 repeat family protein
Bra023583	Protein kinase superfamily protein
Bra023584	heat shock factor 3
Bra023585	binding partner of acd11 1
Bra023586	NAD(P)H dehydrogenase B4
Bra023587	Exostosin family protein
Bra023588	cellulose-synthase like D2
Bra023589	Fasciclin-like arabinogalactan family protein
Bra023590	AAA-type ATPase family protein
Bra023591	Zinc-binding dehydrogenase family protein
Bra023592	Major facilitator superfamily protein
Bra023593	exportin 1A
Bra023594	UDP-glucosyl transferase 78D2
Bra023595	No annotation found
Bra023596	No annotation found
Bra023597	rubredoxin family protein
Bra023598	nitrilase 2
Bra023599	No annotation found
Bra023600	Pectin lyase-like superfamily protein
Bra023601	Protein of unknown function (DUF1218)
Bra023602	glutathione S-transferase phi 12
Bra023603	PHYTOENE SYNTHASE
Bra023604	No annotation found
Bra023605	SET domain group 40
Bra023606	Cyclin A1;1
Bra023607	SET domain group 40
Bra023608	No annotation found
Bra023609	autophagy protein Apg5 family
Bra023610	Homeodomain-like superfamily protein
Bra023611	homeodomain GLABROUS 9
Bra023612	glutamate decarboxylase
Bra023613	Putative membrane lipoprotein
Bra023614	No annotation found
Bra023615	Transducin/WD40 repeat-like superfamily protein
Bra023616	endoplasmic reticulum-adenine nucleotide transporter 1
Bra023617	Integrase-type DNA-binding superfamily protein
Bra023618	LUC7 related protein
Bra023619	Heavy metal transport/detoxification superfamily protein 
Bra023620	No annotation found
Bra023621	pollen calcium-binding protein 1
Bra023622	root cap 1 (RCP1)
Bra023623	phosphoglucosamine mutase family protein
Bra023624	F-box and associated interaction domains-containing protein
Bra023625	F-box associated ubiquitination effector family protein
Bra023626	Putative membrane lipoprotein
Bra023627	No annotation found
Bra023628	No annotation found
Bra023629	like heterochromatin protein (LHP1)
Bra023630	disease resistance protein (TIR-NBS-LRR class), putative
Bra023631_Bra023632	"disease resistance protein (TIR-NBS-LRR class), putative"
Bra023633	MATE efflux family protein
Bra023634	Co-chaperone GrpE family protein
Bra023635	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra023636	NADH:cytochrome B5 reductase 1
Bra023637	myb domain protein 56
Bra023638	WUSCHEL related homeobox 12
Bra023639	Peroxidase superfamily protein
Bra023640	Sodium/calcium exchanger family protein
Bra023641	Sodium/calcium exchanger family protein
Bra023642	F-box family protein with a domain of unknown function (DUF295)
Bra023643	calcium exchanger 7
Bra023644	plastid-specific 50S ribosomal protein 6
Bra023645	Cobalamin-independent synthase family protein
Bra023646	MIF4G domain-containing protein / MA3 domain-containing protein
Bra023647	Disease resistance protein (TIR-NBS-LRR class) family
Bra023648	Cysteine/Histidine-rich C1 domain family protein
Bra023649	Disease resistance protein (TIR-NBS-LRR class) family
Bra023650	No annotation found
Bra023651	tryptophan biosynthesis 1
Bra023652	VERDANDI
Bra023653	SAUR-like auxin-responsive protein family 
Bra023654	SAUR-like auxin-responsive protein family 
Bra023655	SAUR-like auxin-responsive protein family 
Bra023656	SAUR-like auxin-responsive protein family 
Bra023657	SAUR-like auxin-responsive protein family 
Bra023658	SAUR-like auxin-responsive protein family 
Bra023659	SAUR-like auxin-responsive protein family 
Bra023660	SAUR-like auxin-responsive protein family 
Bra023661	SAUR-like auxin-responsive protein family 
Bra023662	SAUR-like auxin-responsive protein family 
Bra023663	SAUR-like auxin-responsive protein family 
Bra023664	novel cap-binding protein
Bra023665	No annotation found
Bra023666	H/ACA ribonucleoprotein complex, subunit Gar1/Naf1 protein
Bra023667	Protein kinase family protein
Bra023668	transcription regulator NOT2/NOT3/NOT5 family protein
Bra023669	Arabidopsis NAC domain containing protein 87
Bra023670	Disease resistance protein (TIR-NBS-LRR class) family
Bra023671	Disease resistance protein (TIR-NBS-LRR class) family
Bra023672	Disease resistance protein (TIR-NBS-LRR class) family
Bra023673	GDSL-like Lipase/Acylhydrolase superfamily protein
Bra023674	Integrase-type DNA-binding superfamily protein
Bra023675	Protein of Unknown Function (DUF239)
Bra023676	Curculin-like (mannose-binding) lectin family protein
Bra023677	Pentatricopeptide repeat (PPR) superfamily protein
Bra023678	plant glycogenin-like starch initiation protein 6
Bra023679	Protein kinase superfamily protein
Bra023680	Lung seven transmembrane receptor family protein
Bra023681	Lung seven transmembrane receptor family protein
Bra023682	No annotation found
Bra023683	Zinc finger C-x8-C-x5-C-x3-H type family protein
Bra023684	Integrase-type DNA-binding superfamily protein
Bra023685	GTP1/OBG family protein
Bra023686	tonneau 2 (TON2)
Bra023687	Disease resistance protein (TIR-NBS-LRR class) family
Bra023688	Thioredoxin superfamily protein
Bra023689	chromatin remodeling factor17
Bra023690	alpha/beta-Hydrolases superfamily protein
Bra023691	RING/U-box superfamily protein
Bra023692	Ribosomal protein L33 family protein
Bra023693	Cox19-like CHCH family protein
Bra023694	TCP-1/cpn60 chaperonin family protein
Bra023695	squamosa promoter binding protein-like 7
Bra023696	Inosine-uridine preferring nucleoside hydrolase family protein
Bra023697	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Bra023698	Protein kinase superfamily protein
Bra023699	Adenosylmethionine decarboxylase family protein
Bra023700	BTB-POZ and MATH domain 1
Bra023701	isopentenyltransferase 5
Bra023702	Heavy metal transport/detoxification superfamily protein 
Bra023703	Eukaryotic aspartyl protease family protein
Bra023704	Eukaryotic aspartyl protease family protein
Bra023705	Eukaryotic aspartyl protease family protein
Bra023706_Bra023707	Aluminium induced protein with YGL and LRDR motifs
Bra023708	pfkB-like carbohydrate kinase family protein
Bra023709	No annotation found
Bra023710	Disease resistance protein (TIR-NBS-LRR class) family
Bra023711	No annotation found
Bra023712	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra023713	ADP glucose pyrophosphorylase large subunit 1
Bra023714	Glycoprotein membrane precursor GPI-anchored
Bra023715	Glycoprotein membrane precursor GPI-anchored
Bra023716	No annotation found
Bra023717	Protein of unknown function (DUF3049)
Bra023718	kinase associated protein phosphatase
Bra023719	MATE efflux family protein
Bra023720	MATE efflux family protein
Bra023721	alpha/beta-Hydrolases superfamily protein
Bra023722	Cyclopropane-fatty-acyl-phospholipid synthase
Bra023723	Cyclopropane-fatty-acyl-phospholipid synthase
Bra023724	No annotation found
Bra023725	6-phosphogluconate dehydrogenase family protein
Bra023726	RNA polymerase I specific transcription initiation factor RRN3 protein
Bra023727	phosphate 1
Bra023728	Zinc-binding ribosomal protein family protein
Bra023729	ROP-interactive CRIB motif-containing protein 5
Bra023730	cytochrome P450, family 87, subfamily A, polypeptide 6
Bra023731	cytochrome P450, family 87, subfamily A, polypeptide 6
Bra023732	casein kinase I-like 10
Bra023733	Transcriptional factor B3 family protein
Bra023734	No annotation found
Bra023735	Galactose oxidase/kelch repeat superfamily protein
Bra023736	AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein
Bra023737	Vesicle transport v-SNARE family protein
Bra023738	Protein of unknown function (DUF640)
Bra023739	XB3 ortholog 5 in Arabidopsis thaliana
Bra023740	Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain
Bra023741	Pre-mRNA splicing Prp18-interacting factor
Bra023742	myb domain protein 15
Bra023743	Nucleic acid-binding, OB-fold-like protein
Bra023744	ethylene response factor 1
Bra023746	ethylene response factor 1
Bra023747	No annotation found
Bra023748	Integrase-type DNA-binding superfamily protein
Bra023749	Integrase-type DNA-binding superfamily protein
Bra023750	No annotation found
Bra023751	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Bra023752	Uncharacterised protein family (UPF0497)
Bra023753	No annotation found
Bra023754	HR-like lesion-inducing protein-related
Bra023755	HR-like lesion-inducing protein-related
Bra023756	Signal transduction histidine kinase, hybrid-type, ethylene sensor
Bra023757	FASCICLIN-like arabinogalactan protein 15 precursor
Bra023758	No annotation found
Bra023759	C2H2 and C2HC zinc fingers superfamily protein
Bra023760	No annotation found
Bra023761	F-box and associated interaction domains-containing protein
Bra023762	F-box and associated interaction domains-containing protein
Bra023763	homolog of human DNA ligase iv-binding protein XRCC4
Bra023764	Phosphoglycerate mutase-like family protein
Bra023765	TPX2 (targeting protein for Xklp2) protein family
Bra023766	Polyketide cyclase/dehydrase and lipid transport superfamily protein
Bra023767	No annotation found
Bra023768	No annotation found
Bra023769	RING/U-box superfamily protein
Bra023770	No annotation found
Bra023771	indole-3-acetic acid inducible 2
Bra023772	Protein of unknown function (DUF1005)
Bra023773	RAB GTPase homolog  G3B
Bra023774	ankyrin repeat family protein
Bra023775	Pentatricopeptide repeat (PPR) superfamily protein
Bra023776	Alba DNA/RNA-binding protein
Bra023777	CBL-interacting protein kinase 7
Bra023778	No annotation found
Bra023779	Paired amphipathic helix (PAH2) superfamily protein
Bra023780	Pyruvate kinase family protein
Bra023781	MAK16 protein-related
Bra023782	G-protein gamma subunit 2
Bra023783	No annotation found
Bra023784	No annotation found
Bra023785	No annotation found
Bra023786	calmodulin-like 11
Bra023787	No annotation found
Bra023788	No annotation found
Bra023789	No annotation found
Bra023790	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein
Bra023791	RNA polymerase Rpb7-like, N-terminal domain
Bra023792	early-responsive to dehydration stress protein (ERD4)
Bra023793	tetratricopetide-repeat thioredoxin-like 2
Bra023794	tetratricopetide-repeat thioredoxin-like 2
Bra023795	tetratricopetide-repeat thioredoxin-like 2
Bra023796	DNA repair (Rad51) family protein
Bra023797	emp24/gp25L/p24 family/GOLD family protein
Bra023798	Chlorophyll A-B binding family protein
Bra023799	No annotation found
Bra023800	heat shock transcription factor  A6B
Bra023801	No annotation found
Bra023802	allergen-related
Bra023803	Plant protein of unknown function (DUF828) with plant pleckstrin homology-like region
Bra023804	Leucine-rich repeat (LRR) family protein
Bra023805	Leucine-rich repeat (LRR) family protein
Bra023806	Kinase interacting (KIP1-like) family protein
Bra023807	Tesmin/TSO1-like CXC domain-containing protein
Bra023808	RPA70-kDa subunit B
Bra023809	F-box and associated interaction domains-containing protein
Bra023810	Tesmin/TSO1-like CXC domain-containing protein
Bra023811	Protein kinase superfamily protein
Bra023812	rRNA processing protein-related
Bra023813	cupin family protein
Bra023814	RING/U-box superfamily protein
Bra023815	20S proteasome beta subunit D1
Bra023816	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Bra023817	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Bra023818	No annotation found
Bra023819	RNA-directed DNA polymerase (reverse transcriptase)
Bra023820	Protein of unknown function (DUF581)
Bra023821	No annotation found
Bra023822	No annotation found
Bra023823	F-box and associated interaction domains-containing protein
Bra023824	Ribosomal L18p/L5e family protein
Bra023825	FRIGIDA-like protein
Bra023826	imidazoleglycerol-phosphate dehydratase
Bra023827	No annotation found
Bra023828	Sec14p-like phosphatidylinositol transfer family protein
Bra023829	PLAT/LH2 domain-containing lipoxygenase family protein
Bra023830	time for coffee
Bra023831	No annotation found
Bra023832	RING/U-box superfamily protein
Bra023833	No annotation found
Bra023834	ubiquitin-like protein 5
Bra023835	alternative oxidase 1B
Bra023836	putative mitochondrial RNA helicase 2
Bra023837	putative mitochondrial RNA helicase 2
Bra023838	thioglucoside glucohydrolase 1
Bra023839	Topoisomerase II-associated protein PAT1
Bra023840	Cysteine proteinases superfamily protein
Bra023841	UDP-Glycosyltransferase superfamily protein
Bra023842	No annotation found
Bra023843	Ribosomal L27e protein family
Bra023844	cysteine-rich RLK (RECEPTOR-like protein kinase) 10
Bra023845	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
Bra023846	IQ-domain 5
Bra023847	DHHC-type zinc finger family protein
Bra023848	far-red elongated hypocotyls 3
Bra023849	VQ motif-containing protein
Bra023850	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Bra023851	20S proteasome alpha subunit C1
Bra023852	TRAF-like family protein
Bra023853	No annotation found
Bra023854	Domain of unknown function (DUF26)
Bra023855	Domain of unknown function (DUF26)
Bra023856	No annotation found
Bra023857	B-box type zinc finger family protein
Bra023858	B-box type zinc finger protein with CCT domain
Bra023859	peroxin 22
Bra023860	Zinc finger C-x8-C-x5-C-x3-H type family protein
Bra023861	UDP-Glycosyltransferase superfamily protein
Bra023862	Peroxidase superfamily protein
Bra023863	UDP-Glycosyltransferase superfamily protein
Bra023864	No annotation found
Bra023865	Ras-related small GTP-binding family protein
Bra023866	MATE efflux family protein
Bra023867	MATE efflux family protein
Bra023868	Major facilitator superfamily protein
Bra023869	A20/AN1-like zinc finger family protein
Bra023870	LORELEI-LIKE-GPI-ANCHORED PROTEIN 1
Bra023871	No annotation found
Bra023872	UDP-Glycosyltransferase superfamily protein
Bra023873	Phosphoglycerate mutase-like family protein
Bra023874	DUF679 domain membrane protein 2
Bra023875	DUF679 domain membrane protein 1
Bra023876	histidine-containing phosphotransmitter 1
Bra023877	Putative endonuclease or glycosyl hydrolase
Bra023878	MAK16 protein-related
Bra023879	Putative endonuclease or glycosyl hydrolase
Bra023880	G-protein gamma subunit 2
Bra023881	zinc finger protein-related
Bra023882	Putative endonuclease or glycosyl hydrolase
Bra023883	Glutaredoxin family protein
Bra023884	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Bra023885	Mannose-binding lectin superfamily protein
Bra023886	beta glucosidase 19
Bra023887	No annotation found
Bra023888	DOF zinc finger protein 2
Bra023889	protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform
Bra023890_Bra023891	Glycolipid transfer protein (GLTP) family protein
Bra023892	No annotation found
Bra023893	multidrug resistance-associated protein 6
Bra023894	MAP kinase kinase 5
Bra023895	RNA-binding (RRM/RBD/RNP motifs) family protein
Bra023896	ATP synthase epsilon chain, mitochondrial
Bra023897	proton gradient regulation 7
Bra023898	O-fucosyltransferase family protein
Bra023899	autoinhibited Ca(2+)-ATPase 9
Bra023900	ZIM-like 1
Bra023901	No annotation found
Bra023902	Pyridoxamine 5\'-phosphate oxidase family protein
Bra023903	Galactose oxidase/kelch repeat superfamily protein
Bra023904	purin 7
Bra023905	RNA-binding (RRM/RBD/RNP motifs) family protein
Bra023906	No annotation found
Bra023907	NAD kinase 1
Bra023908	Transducin/WD40 repeat-like superfamily protein
Bra023909	photosystem II subunit T
Bra023910	rotamase cyclophilin 5
Bra023911	rotamase CYP 3
Bra023912	translocation protein-related
Bra023913	nuclear factor Y, subunit A9
Bra023914	No annotation found
Bra023915	Protein kinase superfamily protein
Bra023916	CDPK-related kinase
Bra023917	No annotation found
Bra023918	WIP domain protein 4
Bra023919	arabinogalactan protein 40
Bra023920	proline-rich family protein
Bra023921	Integrase-type DNA-binding superfamily protein
Bra023922	No annotation found
Bra023923	rotamase CYP 3
Bra023924	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
Bra023925	Leucine-rich repeat (LRR) family protein
Bra023926	Cell differentiation, Rcd1-like protein
Bra023927	ETHYLENE-INSENSITIVE3-like 1
Bra023928	No annotation found
Bra023929	GATA transcription factor 29
Bra023930	Microtubule associated protein (MAP65/ASE1) family protein
Bra023931	rotamase CYP 3
Bra023932	GATA transcription factor 29
Bra023933	Transducin/WD40 repeat-like superfamily protein
Bra023934	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra023935	No annotation found
Bra023936	Domain of unknown function (DUF1995)
Bra023937	histone H2A 13
Bra023938	mRNA capping enzyme family protein
Bra023939	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Bra023940	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Bra023941	COBRA-like protein 10 precursor
Bra023942	early nodulin-like protein 9
Bra023943	No annotation found
Bra023944	Protein kinase superfamily protein
Bra023945	beta-1,2-xylosyltransferase
Bra023946	SIN3-like 2
Bra023947	F-box/RNI-like/FBD-like domains-containing protein
Bra023948	No annotation found
Bra023949	No annotation found
Bra023950	vacuolar-type H(+)-ATPase C3
Bra023951	No annotation found
Bra023952	cellulose synthase 1
Bra023953	TPX2 (targeting protein for Xklp2) protein family
Bra023954	ascorbate peroxidase 6
Bra023955	S-domain-2 5
Bra023956	No annotation found
Bra023957	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein
Bra023958	indole-3-acetic acid inducible 29
Bra023959	Nucleotide/sugar transporter family protein
Bra023960	Ubiquitin-like superfamily protein
Bra023961	No annotation found
Bra023962	Phox (PX) domain-containing protein
Bra023963	Beta-1,3-N-Acetylglucosaminyltransferase family protein
Bra023964	Octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein
Bra023965	KNOTTED1-like homeobox gene 5
Bra023966	No annotation found
Bra023967	No annotation found
Bra023968	HSI2-like 1
Bra023969	aspartate aminotransferase 5
Bra023970	Ribosomal protein L39 family protein
Bra023971	Mitochondrial glycoprotein family protein
Bra023972	response regulator 10
Bra023973	HXXXD-type acyl-transferase family protein
Bra023974	chromatin remodeling factor CHD3 (PICKLE)
Bra023975	No annotation found
Bra023976	tRNA synthetase beta subunit family protein
Bra023977	No annotation found
Bra023978	glutathione peroxidase 7
Bra023979	Protein phosphatase 2C family protein
Bra023980	proton gradient regulation 3
Bra023981	early nodulin-like protein 15
Bra023982	WRKY family transcription factor
Bra023983	WRKY DNA-binding protein 18
Bra023984	monogalactosyl diacylglycerol synthase 1
Bra023985	debranching enzyme 1
Bra023986	eukaryotic translation initiation factor 3B-2
Bra023987	glutamine dumper 1
Bra023988	Transcriptional factor B3 family protein
Bra023989	glutamate receptor 2.1
Bra023990	transcriptional factor B3 family protein
Bra023991	Transcriptional factor B3 family protein
Bra023992	No annotation found
Bra023993	Cellulose-synthase-like C5
Bra023994	serine/arginine-rich 22
Bra023995	No annotation found
Bra023996	No annotation found
Bra023997	high chlorophyll fluorescence 153
Bra023998	WRKY DNA-binding protein 11
Bra023999	exocyst subunit exo70 family protein G1
Bra024000	NAD(P)-binding Rossmann-fold superfamily protein
Bra024001_Bra024002	"cytochrome P450, family 71, subfamily B, polypeptide 2"
Bra024003	No annotation found
Bra024004	No annotation found
Bra024005	Coatomer, beta subunit
Bra024006	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein
Bra024007	RING/U-box superfamily protein
Bra024008	No annotation found
Bra024009	RING/U-box superfamily protein
Bra024010	damaged DNA binding;DNA-directed DNA polymerases
Bra024011	FPF1-like protein 1
Bra024012	myosin heavy chain-related
Bra024013	SAUR-like auxin-responsive protein family 
Bra024014	AIG2-like (avirulence induced gene) family protein
Bra024015	N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein
Bra024016	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain
Bra024017	DNA topoisomerase, type IA, core
Bra024018	Class II aminoacyl-tRNA and biotin synthetases superfamily protein
Bra024019	RNA binding (RRM/RBD/RNP motifs) family protein
Bra024020	Protein kinase superfamily protein
Bra024021	DDB1-CUL4 associated factor 1
Bra024022	O-Glycosyl hydrolases family 17 protein
Bra024023	SHK1 binding protein 1
Bra024024	Protein of unknown function (DUF1997)
Bra024025	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra024026	wall-associated kinase, putative
Bra024027	CemA-like proton extrusion protein-related
Bra024028	alpha/beta-Hydrolases superfamily protein
Bra024029	ARM repeat superfamily protein
Bra024030	phenylalanyl-tRNA synthetase, putative / phenylalanine--tRNA ligase, putative
Bra024031	No annotation found
Bra024032	SOS3-interacting protein 3
Bra024033	Peroxidase superfamily protein
Bra024034	No annotation found
Bra024035	WRKY DNA-binding protein 32
Bra024036	Ribosomal protein L21
Bra024037	ubiquitin-specific protease 24
